,N,d,algo,mem
438,5000,5,nmoo,239.2890625
439,5000,5,pymoo,239.2890625
440,5000,6,nmoo,239.2890625
441,5000,6,pymoo,239.2890625
442,5000,6,nmoo,239.2890625
443,5000,6,pymoo,239.2890625
444,5000,6,nmoo,239.2890625
445,5000,6,pymoo,239.2890625
446,5000,6,nmoo,239.2890625
447,5000,6,pymoo,239.2890625
448,5000,6,nmoo,239.2890625
449,5000,6,pymoo,239.2890625
450,5000,6,nmoo,239.2890625
451,5000,6,pymoo,239.2890625
452,5000,6,nmoo,239.2890625
453,5000,6,pymoo,239.2890625
454,5000,6,nmoo,239.2890625
455,5000,6,pymoo,239.2890625
456,5000,6,nmoo,239.2890625
457,5000,6,pymoo,239.2890625
458,5000,6,nmoo,239.2890625
459,5000,6,pymoo,239.2890625
460,5000,7,nmoo,239.2890625
461,5000,7,pymoo,239.2890625
462,5000,7,nmoo,239.2890625
463,5000,7,pymoo,239.2890625
464,5000,7,nmoo,239.2890625
465,5000,7,pymoo,239.2890625
466,5000,7,nmoo,239.2890625
467,5000,7,pymoo,239.2890625
468,5000,7,nmoo,239.2890625
469,5000,7,pymoo,239.2890625
470,5000,7,nmoo,239.2890625
471,5000,7,pymoo,239.2890625
472,5000,7,nmoo,239.2890625
473,5000,7,pymoo,239.2890625
474,5000,7,nmoo,239.2890625
475,5000,7,pymoo,239.2890625
476,5000,7,nmoo,239.2890625
477,5000,7,pymoo,239.2890625
478,5000,7,nmoo,239.2890625
479,5000,7,pymoo,239.2890625
480,10000,2,nmoo,247.25
481,10000,2,pymoo,651.7734375
482,10000,2,nmoo,540.73828125
483,10000,2,pymoo,645.78125
484,10000,2,nmoo,537.63671875
485,10000,2,pymoo,643.546875
486,10000,2,nmoo,538.33984375
487,10000,2,pymoo,646.28515625
488,10000,2,nmoo,539.5390625
489,10000,2,pymoo,644.6953125
490,10000,2,nmoo,541.4375
491,10000,2,pymoo,646.18359375
492,10000,2,nmoo,537.015625
493,10000,2,pymoo,645.22265625
494,10000,2,nmoo,542.125
495,10000,2,pymoo,644.90234375
496,10000,2,nmoo,538.578125
497,10000,2,pymoo,645.71875
498,10000,2,nmoo,539.91796875
499,10000,2,pymoo,645.984375
500,10000,3,nmoo,540.41796875
501,10000,3,pymoo,596.6875
502,10000,3,nmoo,544.51171875
503,10000,3,pymoo,597.17578125
504,10000,3,nmoo,542.84375
505,10000,3,pymoo,596.75390625
506,10000,3,nmoo,542.81640625
507,10000,3,pymoo,597.921875
508,10000,3,nmoo,542.9765625
509,10000,3,pymoo,598.69140625
510,10000,3,nmoo,543.59765625
511,10000,3,pymoo,599.08203125
512,10000,3,nmoo,543.34375
513,10000,3,pymoo,598.09765625
514,10000,3,nmoo,551.34375
515,10000,3,pymoo,598.76171875
516,10000,3,nmoo,551.5625
517,10000,3,pymoo,598.16796875
518,10000,3,nmoo,552.3125
519,10000,3,pymoo,600.015625
520,10000,4,nmoo,552.06640625
521,10000,4,pymoo,567.1796875
522,10000,4,nmoo,543.69140625
523,10000,4,pymoo,567.73828125
524,10000,4,nmoo,543.44140625
525,10000,4,pymoo,567.7421875
526,10000,4,nmoo,544.14453125
527,10000,4,pymoo,567.62890625
528,10000,4,nmoo,544.76171875
529,10000,4,pymoo,567.23828125
530,10000,4,nmoo,545.0078125
531,10000,4,pymoo,567.88671875
532,10000,4,nmoo,547.04296875
533,10000,4,pymoo,567.23828125
534,10000,4,nmoo,544.4453125
535,10000,4,pymoo,568.1015625
536,10000,4,nmoo,545.78125
537,10000,4,pymoo,567.98828125
538,10000,4,nmoo,550.5390625
539,10000,4,pymoo,569.59765625
540,10000,5,nmoo,551.75
541,10000,5,pymoo,553.6640625
542,10000,5,nmoo,552.0546875
543,10000,5,pymoo,552.8046875
544,10000,5,nmoo,544.9453125
545,10000,5,pymoo,552.8671875
546,10000,5,nmoo,545.1953125
547,10000,5,pymoo,553.84375
548,10000,5,nmoo,545.703125
549,10000,5,pymoo,553.13671875
550,10000,5,nmoo,545.984375
551,10000,5,pymoo,554.10546875
552,10000,5,nmoo,545.98046875
553,10000,5,pymoo,553.39453125
554,10000,5,nmoo,546.078125
555,10000,5,pymoo,553.89453125
556,10000,5,nmoo,545.6953125
557,10000,5,pymoo,554.625
558,10000,5,nmoo,545.9453125
559,10000,5,pymoo,554.0234375
560,10000,6,nmoo,547.44921875
561,10000,6,pymoo,547.609375
562,10000,6,nmoo,547.859375
563,10000,6,pymoo,547.859375
564,10000,6,nmoo,548.08203125
565,10000,6,pymoo,548.08203125
566,10000,6,nmoo,548.08203125
567,10000,6,pymoo,548.08203125
568,10000,6,nmoo,548.08203125
569,10000,6,pymoo,548.08203125
570,10000,6,nmoo,548.08203125
571,10000,6,pymoo,548.08203125
572,10000,6,nmoo,548.08203125
573,10000,6,pymoo,548.08203125
574,10000,6,nmoo,548.08203125
575,10000,6,pymoo,548.16015625
576,10000,6,nmoo,548.17578125
577,10000,6,pymoo,548.17578125
578,10000,6,nmoo,548.17578125
579,10000,6,pymoo,548.17578125
580,10000,7,nmoo,548.17578125
581,10000,7,pymoo,548.17578125
582,10000,7,nmoo,548.17578125
583,10000,7,pymoo,548.17578125
584,10000,7,nmoo,548.17578125
585,10000,7,pymoo,548.17578125
586,10000,7,nmoo,548.17578125
587,10000,7,pymoo,548.17578125
588,10000,7,nmoo,548.17578125
589,10000,7,pymoo,548.17578125
590,10000,7,nmoo,548.17578125
591,10000,7,pymoo,548.17578125
592,10000,7,nmoo,548.17578125
593,10000,7,pymoo,548.17578125
594,10000,7,nmoo,548.17578125
595,10000,7,pymoo,548.17578125
596,10000,7,nmoo,548.17578125
597,10000,7,pymoo,548.17578125
598,10000,7,nmoo,548.17578125
599,10000,7,pymoo,548.17578125
600,50000,2,nmoo,612.41015625
601,50000,2,pymoo,12767.5625
602,50000,2,nmoo,9993.7265625
603,50000,2,pymoo,12778.84375
604,50000,2,nmoo,10024.03125
605,50000,2,pymoo,12796.8359375
606,50000,2,nmoo,10025.109375
607,50000,2,pymoo,12803.16796875
608,50000,2,nmoo,9904.6171875
609,50000,2,pymoo,12768.51953125
610,50000,2,nmoo,9905.6171875
611,50000,2,pymoo,12756.19140625
612,50000,2,nmoo,9914.59375
613,50000,2,pymoo,12776.7890625
614,50000,2,nmoo,9829.73828125
615,50000,2,pymoo,12764.75390625
616,50000,2,nmoo,10032.34375
617,50000,2,pymoo,12801.1953125
618,50000,2,nmoo,10064.22265625
619,50000,2,pymoo,12783.09765625
620,50000,3,nmoo,10063.23046875
621,50000,3,pymoo,11305.5234375
622,50000,3,nmoo,10064.9765625
623,50000,3,pymoo,11292.86328125
624,50000,3,nmoo,10063.7265625
625,50000,3,pymoo,11301.78125
